result: 36.507561 | time: 52.819911
result: 41.116444 | time: 51.017182
result: 31.812508 | time: 52.304638
result: 36.507561 | time: 11.024014
result: 41.116444 | time: 8.951800
result: 46.844345 | time: 10.129660
result: 37.348152 | time: 50.481802
result: 33.015182 | time: 7.901270
result: 33.661507 | time: 10.160783
result: 35.643585 | time: 9.011714
result: 24.049280 | time: 7.404144
result: 30.870123 | time: 8.964055
result: 40.392738 | time: 8.983920
result: 43.089355 | time: 57.192299
result: 33.212082 | time: 10.181338
result: 34.572357 | time: 8.997905
result: 33.941322 | time: 10.175513
result: 36.669231 | time: 9.684690
result: 34.354191 | time: 8.998692
result: 29.282318 | time: 44.447191
result: 39.538979 | time: 8.972456
result: 36.911423 | time: 8.995205
result: 37.175823 | time: 10.203968
result: 35.936474 | time: 10.191850
result: 34.649895 | time: 8.996602
result: 31.911390 | time: 8.984328
result: 30.354477 | time: 57.218378
result: 39.523743 | time: 8.993691
result: 36.843292 | time: 10.606561
result: 31.131882 | time: 8.523766
result: 33.306816 | time: 9.008326
result: 33.306889 | time: 8.999316
result: 30.675562 | time: 50.532650
result: 28.447693 | time: 10.195941
result: 39.596470 | time: 10.186326
result: 31.468718 | time: 9.014635
result: 28.823135 | time: 9.004303
result: 28.744009 | time: 5.377635
result: 21.322775 | time: 41.786094
result: 37.786655 | time: 9.014522
result: 39.130177 | time: 8.988702
result: 39.985424 | time: 10.277769
result: 30.124205 | time: 8.994571
result: 26.808094 | time: 10.791301
result: 28.049377 | time: 50.663576
result: 31.610802 | time: 10.185210
result: 32.618912 | time: 8.989929
result: 41.792721 | time: 9.005645
result: 33.265289 | time: 8.965059
result: 34.063213 | time: 9.013038
result: 34.750511 | time: 9.006702
result: 35.089520 | time: 50.596461
result: 35.222923 | time: 8.997679
result: 44.860664 | time: 8.929739
result: 50.318062 | time: 9.007669
result: 30.709877 | time: 9.005440
result: 31.417665 | time: 9.094137
result: 33.889931 | time: 9.004717
result: 28.545624 | time: 57.319732
result: 31.657389 | time: 10.182575
result: 29.092352 | time: 9.010900
result: 34.416336 | time: 9.003329
result: 35.135239 | time: 8.923176
result: 35.577271 | time: 7.633215
result: 41.146088 | time: 9.019049
result: 30.840038 | time: 50.710045
result: 29.347048 | time: 7.030692
result: 33.550850 | time: 13.588721
result: 30.607037 | time: 9.008395
result: 36.005844 | time: 9.403001
result: 34.071949 | time: 9.006676
result: 30.504917 | time: 8.993314
result: 29.792896 | time: 57.307083
result: 25.653708 | time: 10.186753
result: 28.696442 | time: 9.005325
result: 36.700809 | time: 8.989695
result: 37.330570 | time: 9.944803
result: 35.237648 | time: 9.009299
result: 31.278782 | time: 10.197389
result: 33.267494 | time: 54.556730
result: 29.554379 | time: 9.029605
result: 35.299675 | time: 9.029843
result: 38.384480 | time: 8.981041
result: 30.316896 | time: 50.607407
result: 36.187431 | time: 50.648230
result: 33.466640 | time: 50.632043
result: 34.147774 | time: 57.279569
result: 36.507561 | time: 37.248079
result: 41.116444 | time: 18.904925
result: 31.309910 | time: 57.210913
result: 46.844345 | time: 21.515877
result: 33.015182 | time: 16.644156
result: 33.661507 | time: 21.380840
result: 30.282322 | time: 50.663610
result: 35.643585 | time: 18.882244
result: 24.049280 | time: 15.534780
result: 30.870123 | time: 18.854710
result: 27.137905 | time: 50.626437
result: 40.392738 | time: 18.889113
result: 33.212082 | time: 21.381399
result: 34.572357 | time: 18.941250
result: 34.315117 | time: 50.560564
result: 33.941322 | time: 21.385938
result: 36.669231 | time: 20.376157
result: 32.777222 | time: 59.508942
result: 34.354191 | time: 18.909769
result: 39.538979 | time: 18.904514
result: 36.911423 | time: 18.870951
result: 27.699146 | time: 47.778018
result: 37.175823 | time: 21.406581
result: 35.936474 | time: 21.402145
result: 30.207928 | time: 50.626666
result: 34.649895 | time: 18.893490
result: 31.911390 | time: 18.900934
result: 39.523743 | time: 18.913545
result: 29.412949 | time: 50.620101
result: 36.843292 | time: 22.255149
result: 31.131882 | time: 17.852393
result: 33.306816 | time: 18.900547
result: 25.471754 | time: 57.238186
result: 33.306889 | time: 18.890583
result: 28.447693 | time: 21.403247
result: 39.596470 | time: 21.390981
result: 35.528416 | time: 57.255304
result: 31.468718 | time: 18.903631
result: 28.823135 | time: 18.871008
result: 28.744009 | time: 11.261084
result: 25.109398 | time: 50.634507
result: 37.786655 | time: 18.917823
result: 39.130177 | time: 18.926856
result: 27.297626 | time: 50.562105
result: 39.985424 | time: 21.602052
result: 30.124205 | time: 18.868197
result: 25.821875 | time: 30.233702
result: 26.808094 | time: 22.675364
result: 31.610802 | time: 21.428568
result: 32.005383 | time: 50.592955
result: 32.618912 | time: 18.886438
result: 41.792721 | time: 18.933339
result: 33.265289 | time: 18.875070
result: 33.542442 | time: 50.613369
result: 34.063213 | time: 18.915657
result: 34.750511 | time: 18.901656
result: 35.222923 | time: 18.906914
result: 36.268593 | time: 57.824669
result: 44.860664 | time: 18.908562
result: 50.318062 | time: 18.899319
result: 30.709877 | time: 18.922948
result: 26.836138 | time: 50.666197
result: 31.417665 | time: 19.154614
result: 33.889931 | time: 18.928236
result: 31.657389 | time: 21.439989
result: 24.047443 | time: 60.599768
result: 29.092352 | time: 18.893885
result: 34.416336 | time: 18.926939
result: 35.135239 | time: 18.684692
result: 27.581299 | time: 57.274892
result: 35.577271 | time: 15.986169
result: 41.146088 | time: 18.860392
result: 29.347048 | time: 14.753600
result: 28.327637 | time: 50.548574
result: 33.550850 | time: 28.447860
