config loaded.
train dataset: size=25000
  inp: shape=(3, 32, 32)
  coord: shape=(1024, 2)
  cell: shape=(1024, 2)
  gt: shape=(1024, 3)
val dataset: size=100
  inp: shape=(3, 32, 32)
  coord: shape=(1024, 2)
  cell: shape=(1024, 2)
  gt: shape=(1024, 3)
Run on device:  cuda
model: #params=1.6M
epoch 1/200, train: loss=0.0760, val: psnr=25.3154, 1.1m 1.1m/3.7h
epoch 2/200, train: loss=0.0556, val: psnr=25.4403, 1.1m 2.1m/3.6h
epoch 3/200, train: loss=0.0512, val: psnr=26.4031, 1.1m 3.2m/3.6h
epoch 4/200, train: loss=0.0484, val: psnr=26.3348, 1.0m 4.2m/3.5h
epoch 5/200, train: loss=0.0468, val: psnr=26.7730, 1.1m 5.3m/3.5h
epoch 6/200, train: loss=0.0457, val: psnr=26.6191, 1.0m 6.3m/3.5h
epoch 7/200, train: loss=0.0447, val: psnr=26.7376, 1.0m 7.4m/3.5h
epoch 8/200, train: loss=0.0440, val: psnr=26.8032, 1.1m 8.4m/3.5h
epoch 9/200, train: loss=0.0435, val: psnr=27.0557, 1.1m 9.5m/3.5h
epoch 10/200, train: loss=0.0429, val: psnr=26.9742, 1.0m 10.5m/3.5h
epoch 11/200, train: loss=0.0425, val: psnr=26.9766, 1.0m 11.6m/3.5h
epoch 12/200, train: loss=0.0422, val: psnr=27.1470, 1.0m 12.6m/3.5h
epoch 13/200, train: loss=0.0418, val: psnr=27.0779, 1.0m 13.7m/3.5h
epoch 14/200, train: loss=0.0416, val: psnr=27.2112, 1.0m 14.7m/3.5h
epoch 15/200, train: loss=0.0413, val: psnr=27.3265, 1.0m 15.8m/3.5h
epoch 16/200, train: loss=0.0411, val: psnr=27.1987, 1.0m 16.8m/3.5h
epoch 17/200, train: loss=0.0410, val: psnr=27.1884, 1.0m 17.9m/3.5h
epoch 18/200, train: loss=0.0408, val: psnr=27.2255, 1.0m 18.9m/3.5h
epoch 19/200, train: loss=0.0406, val: psnr=26.9951, 1.0m 20.0m/3.5h
epoch 20/200, train: loss=0.0405, val: psnr=27.5375, 1.0m 21.0m/3.5h
epoch 21/200, train: loss=0.0403, val: psnr=27.3554, 1.0m 22.1m/3.5h
epoch 22/200, train: loss=0.0403, val: psnr=27.4293, 1.0m 23.1m/3.5h
epoch 23/200, train: loss=0.0401, val: psnr=27.3242, 1.0m 24.1m/3.5h
