config loaded.
train dataset: size=25000
  inp: shape=(3, 32, 32)
  coord: shape=(1024, 2)
  cell: shape=(1024, 2)
  gt: shape=(1024, 3)
val dataset: size=100
  inp: shape=(3, 32, 32)
  coord: shape=(1024, 2)
  cell: shape=(1024, 2)
  gt: shape=(1024, 3)
Run on device:  cuda
load checkpoint from local path: /n/home08/mngo/vu-master-thesis/liif/ckpts/stylegan2/stylegan2-cat-config-f-official_20210327_172444-15bc485b.pth
model: #params=157.8M
epoch 1/200, train: loss=0.0782, val: psnr=25.2280, 26.2m 26.2m/87.4h
epoch 2/200, train: loss=0.0630, val: psnr=25.3148, 26.2m 52.5m/87.4h
epoch 3/200, train: loss=0.0555, val: psnr=26.0416, 26.2m 1.3h/87.4h
epoch 4/200, train: loss=0.0506, val: psnr=26.6569, 26.2m 1.7h/87.4h
epoch 5/200, train: loss=0.0485, val: psnr=26.7455, 26.2m 2.2h/87.4h
epoch 6/200, train: loss=0.0467, val: psnr=27.2371, 26.2m 2.6h/87.4h
epoch 7/200, train: loss=0.0458, val: psnr=26.8897, 26.0m 3.1h/87.3h
epoch 8/200, train: loss=0.0449, val: psnr=27.2209, 26.0m 3.5h/87.2h
epoch 9/200, train: loss=0.0441, val: psnr=26.9924, 26.0m 3.9h/87.1h
epoch 10/200, train: loss=0.0438, val: psnr=27.0516, 25.9m 4.4h/87.1h
epoch 11/200, train: loss=0.0431, val: psnr=27.2216, 25.9m 4.8h/87.0h
epoch 12/200, train: loss=0.0430, val: psnr=27.1573, 25.9m 5.2h/87.0h
